Rank,English_Reference,Word_A,Word_B,Lang_A,Lang_B,Match_Type,Similarity_Score,Audit_Status
2,the,el,el,ca,es,Perfect,1.0,OK
3,be,ser,ser,ca,es,Perfect,1.0,OK
3,be,ser,ser,es,pt,Perfect,1.0,OK
3,be,ser,ser,gl,pt,Perfect,1.0,OK
3,be,ser,ser,ca,pt,Perfect,1.0,OK
3,be,ser,ser,es,gl,Perfect,1.0,OK
3,be,ser,ser,ca,gl,Perfect,1.0,OK
4,and,e,e,it,pt,Perfect,1.0,OK
4,and,e,e,gl,it,Perfect,1.0,OK
4,and,e,e,gl,pt,Perfect,1.0,OK
5,a,a,a,ca,gl,Perfect,1.0,OK
5,a,a,a,ca,es,Perfect,1.0,OK
5,a,a,a,es,gl,Perfect,1.0,OK
6,of,de,de,fr,gl,Perfect,1.0,OK
6,of,de,de,es,gl,Perfect,1.0,OK
6,of,de,de,ca,fr,Perfect,1.0,OK
6,of,de,de,fr,pt,Perfect,1.0,OK
6,of,de,de,ca,es,Perfect,1.0,OK
6,of,de,de,es,fr,Perfect,1.0,OK
6,of,de,de,es,ro,Perfect,1.0,OK
6,of,de,de,es,pt,Perfect,1.0,OK
6,of,de,de,pt,ro,Perfect,1.0,OK
6,of,de,de,ca,pt,Perfect,1.0,OK
6,of,de,de,ca,gl,Perfect,1.0,OK
6,of,de,de,ca,ro,Perfect,1.0,OK
6,of,de,de,gl,pt,Perfect,1.0,OK
6,of,de,de,gl,ro,Perfect,1.0,OK
6,of,de,de,fr,ro,Perfect,1.0,OK
7,to,a,a,ca,es,Perfect,1.0,OK
7,to,a,a,es,it,Perfect,1.0,OK
7,to,a,a,ca,it,Perfect,1.0,OK
7,to,a,a,ca,gl,Perfect,1.0,OK
7,to,a,a,gl,it,Perfect,1.0,OK
7,to,a,a,es,gl,Perfect,1.0,OK
8,in,en,en,es,gl,Perfect,1.0,OK
9,i,i,i,ca,ro,Perfect,1.0,OK
9,i,i,i,ca,gl,Perfect,1.0,OK
9,i,i,i,gl,ro,Perfect,1.0,OK
12,have,tenir,tener,ca,es,Near,0.8,OK
12,have,ter,ter,gl,pt,Perfect,1.0,OK
15,for,por,por,es,pt,Perfect,1.0,OK
15,for,per,per,ca,it,Perfect,1.0,OK
16,do,hacer,facer,es,gl,Near,0.8,OK
16,do,faire,fare,fr,it,Near,0.889,OK
17,he,el,el,gl,ro,Perfect,1.0,OK
18,with,con,con,gl,it,Perfect,1.0,OK
18,with,con,con,es,it,Perfect,1.0,OK
18,with,con,con,es,gl,Perfect,1.0,OK
21,n't,Nou Testament,Nuevo Testamento,ca,es,Near,0.828,OK
22,we,nosaltres,nosotros,ca,es,Near,0.706,OK
22,we,noi,noi,it,ro,Perfect,1.0,OK
22,we,nós,nós,gl,pt,Perfect,1.0,OK
25,but,però,pero,ca,es,Near,0.75,OK
25,but,pero,pero,es,gl,Perfect,1.0,OK
25,but,però,pero,ca,gl,Near,0.75,OK
26,they,ells,ellos,ca,es,Near,0.889,OK
26,they,eles,elas,gl,pt,Near,0.75,OK
26,they,ells,elas,ca,pt,Near,0.75,OK
26,they,ells,eles,ca,gl,Near,0.75,OK
27,say,dire,dire,fr,it,Perfect,1.0,OK
27,say,decir,dicir,es,gl,Near,0.8,OK
29,what,que,que,gl,pt,Perfect,1.0,OK
30,his,seu,seu,gl,pt,Perfect,1.0,OK
31,from,a partire dal,a partir de,it,pt,Near,0.833,OK
31,from,à partir de,a partire dal,fr,it,Near,0.75,OK
31,from,des de,desde,ca,es,Near,0.909,OK
31,from,desde,dende,es,gl,Near,0.8,OK
31,from,à partir de,a partir de,fr,pt,Near,0.909,OK
31,from,des de,dende,ca,gl,Near,0.727,OK
32,go,anar,andare,ca,it,Near,0.8,OK
32,go,vai,vai,gl,pt,Perfect,1.0,OK
33,or,o,o,es,it,Perfect,1.0,OK
33,or,o,o,ca,es,Perfect,1.0,OK
33,or,ou,ou,fr,pt,Perfect,1.0,OK
33,or,ou,ou,fr,gl,Perfect,1.0,OK
33,or,ou,ou,gl,pt,Perfect,1.0,OK
33,or,o,o,ca,it,Perfect,1.0,OK
35,get,obtener,ottenere,es,it,Near,0.8,OK
35,get,aconseguir,conseguir,ca,gl,Near,0.947,OK
36,she,ela,ela,gl,pt,Perfect,1.0,OK
36,she,ella,elle,es,fr,Near,0.75,OK
