Rank,English_Meaning,Word,Languages_Found,Count
2,the,el,"ca,es",2
3,be,ser,"ca,es,gl,pt",4
4,and,e,"gl,it,pt",3
5,a,a,"ca,en,es,gl",4
6,of,de,"ca,es,fr,gl,pt,ro",6
7,to,a,"ca,es,gl,it",4
8,in,in,"en,it",2
8,in,en,"ca,es,gl",3
9,i,i,"ca,en,gl,ro",4
12,have,ter,"gl,pt",2
13,to,a,"ca,es,gl,it",4
15,for,por,"es,pt",2
15,for,per,"ca,it",2
16,do,do,"en,ro",2
17,he,el,"gl,ro",2
18,with,con,"es,gl,it",3
19,on,on,"en,gl",2
19,on,sobre,"es,pt",2
20,this,isto,"gl,pt",2
22,we,noi,"it,ro",2
22,we,nós,"gl,pt",2
24,not,no,"ca,es",2
24,not,non,"gl,it",2
25,but,pero,"es,gl",2
27,say,dire,"fr,it",2
29,what,que,"gl,pt",2
30,his,seu,"gl,pt",2
32,go,vai,"gl,pt",2
33,or,o,"ca,es,it",3
33,or,ou,"fr,gl,pt",3
34,by,por,"es,gl,pt",3
36,she,ella,"ca,es",2
36,she,ela,"gl,pt",2
37,my,meu,"ca,gl",2
39,as,como,"es,gl",2
40,know,saber,"ca,es,gl",3
41,if,si,"ca,fr",2
42,me,me,"en,it",2
43,your,teu,"ca,gl",2
45,who,OMS,"ca,gl",2
53,up,arriba,"es,gl",2
54,think,pensar,"ca,es",2
55,time,temps,"ca,fr",2
56,there,là,"fr,it",2
58,her,ella,"ca,es",2
59,as,como,"es,gl",2
61,one,un,"ca,fr,gl",3
64,take,prendre,"ca,fr",2
65,year,an,"fr,ro",2
65,year,ano,"gl,pt",2
66,him,lui,"fr,it",2
67,them,eles,"gl,pt",2
71,when,quando,"it,pt",2
72,which,que,"gl,pt",2
73,now,agora,"gl,pt",2
78,into,en,"es,gl",2
79,here,aquí,"ca,es,gl",3
81,than,que,"ca,es,fr,gl,pt",5
86,no,no,"ca,en,it",3
86,no,non,"fr,gl",2
87,thing,cosa,"ca,es,it",3
88,well,bien,"es,fr",2
89,because,porque,"es,gl",2
91,two,dos,"ca,es",2
92,use,usar,"es,gl,pt",3
93,tell,contar,"es,gl,pt",3
94,good,bo,"ca,gl",2
96,man,home,"ca,gl",2
97,day,día,"es,gl",2
97,day,dia,"ca,pt",2
99,give,dar,"es,gl,pt",3
101,new,novo,"gl,pt",2
101,new,nou,"ca,ro",2
102,one,un,"ca,fr,gl",3
103,us,nós,"gl,pt",2
107,her,ella,"ca,es",2
110,there,là,"fr,it",2
113,only,solo,"es,it",2
113,only,só,"gl,pt",2
115,really,realmente,"gl,pt",2
117,life,vida,"ca,es,gl,pt",4
121,on,on,"en,gl",2
121,on,sobre,"es,pt",2
123,let,deixar,"ca,gl",2
124,something,algo,"es,gl,pt",3
130,through,a través de,"ca,gl",2
131,mean,significar,"ca,es,gl,pt",4
133,never,nunca,"es,gl",2
133,never,mai,"ca,it",2
134,no,no,"ca,en,it",3
134,no,non,"fr,gl",2
135,world,mundo,"es,gl,pt",3
136,in,in,"en,it",2
136,in,en,"ca,es,gl",3
137,feel,sentir,"ca,es,gl,pt",4
138,yeah,sí,"ca,es",2
