language,language_name,rank,word
es,Spanish,1,es
es,Spanish,2,el
es,Spanish,3,ser
es,Spanish,4,y
es,Spanish,5,a
es,Spanish,6,de
es,Spanish,7,a
es,Spanish,8,en
es,Spanish,9,I
es,Spanish,10,Uds
es,Spanish,11,eso
es,Spanish,12,tener
es,Spanish,13,a
es,Spanish,14,ese
es,Spanish,15,por
es,Spanish,16,hacer
es,Spanish,17,él
es,Spanish,18,con
es,Spanish,19,sobre
es,Spanish,20,esta
es,Spanish,21,Nuevo Testamento
es,Spanish,22,nosotros
es,Spanish,23,ese
es,Spanish,24,no
es,Spanish,25,pero
es,Spanish,26,ellos
es,Spanish,27,decir
es,Spanish,28,en
es,Spanish,29,qué
es,Spanish,30,su
es,Spanish,31,desde
es,Spanish,32,Vamos
es,Spanish,33,o
es,Spanish,34,por
es,Spanish,35,obtener
es,Spanish,36,ella
es,Spanish,37,mi
es,Spanish,38,poder
es,Spanish,39,como
es,Spanish,40,saber
es,Spanish,41,Si
es,Spanish,42,yo
es,Spanish,43,tu
es,Spanish,44,todo
es,Spanish,45,quién
es,Spanish,46,acerca de
es,Spanish,47,su
es,Spanish,48,será
es,Spanish,49,entonces
es,Spanish,50,haría
es,Spanish,51,fabricar
es,Spanish,52,sólo
es,Spanish,53,arriba
es,Spanish,54,pensar
es,Spanish,55,hora
es,Spanish,56,allí
es,Spanish,57,ver
es,Spanish,58,ella
es,Spanish,59,como
es,Spanish,60,fuera
es,Spanish,61,una
es,Spanish,62,venir
es,Spanish,63,personas
es,Spanish,64,llevar
es,Spanish,65,año
es,Spanish,66,él
es,Spanish,67,ellos
es,Spanish,68,algunos
es,Spanish,69,desear
es,Spanish,70,cómo
es,Spanish,71,Cuándo
es,Spanish,72,cual
es,Spanish,73,ahora
es,Spanish,74,me gusta
es,Spanish,75,otro
es,Spanish,76,pudo
es,Spanish,77,nuestro
es,Spanish,78,en
es,Spanish,79,aquí
es,Spanish,80,entonces
es,Spanish,81,que
es,Spanish,82,Mira
es,Spanish,83,camino
es,Spanish,84,más
es,Spanish,85,estos
es,Spanish,86,No
es,Spanish,87,cosa
es,Spanish,88,bien
es,Spanish,89,porque
es,Spanish,90,además
es,Spanish,91,dos
es,Spanish,92,usar
es,Spanish,93,contar
es,Spanish,94,bien
es,Spanish,95,primero
es,Spanish,96,hombre
es,Spanish,97,día
es,Spanish,98,encontrar
es,Spanish,99,dar
es,Spanish,100,más
es,Spanish,101,nuevo
es,Spanish,102,una
es,Spanish,103,nosotros
es,Spanish,104,ningún
es,Spanish,105,aquellos
es,Spanish,106,muy
es,Spanish,107,ella
es,Spanish,108,necesitar
es,Spanish,109,espalda
es,Spanish,110,allí
es,Spanish,111,deberían
es,Spanish,112,incluso
es,Spanish,113,solo
es,Spanish,114,muchos
es,Spanish,115,De Verdad
es,Spanish,116,trabajo
es,Spanish,117,vida
es,Spanish,118,por qué
es,Spanish,119,derecho
es,Spanish,120,abajo
es,Spanish,121,sobre
es,Spanish,122,tratar
es,Spanish,123,dejar
es,Spanish,124,algo
es,Spanish,125,también
es,Spanish,126,llamar
es,Spanish,127,mujer
es,Spanish,128,mayo
es,Spanish,129,aún
es,Spanish,130,mediante
es,Spanish,131,significar
es,Spanish,132,después
es,Spanish,133,nunca
es,Spanish,134,No
es,Spanish,135,mundo
es,Spanish,136,en
es,Spanish,137,sentir
es,Spanish,138,sí
es,Spanish,139,estupendo
es,Spanish,140,ultimo
es,Spanish,141,niño
es,Spanish,142,Oh
es,Spanish,143,encima
es,Spanish,144,preguntar
es,Spanish,145,Cuándo
es,Spanish,146,como
es,Spanish,147,colegio
es,Spanish,148,Expresar
es,Spanish,149,mucho
es,Spanish,150,hablar
es,Spanish,151,fuera
es,Spanish,152,mantenerse
es,Spanish,153,salir
es,Spanish,154,poner
es,Spanish,155,me gusta
es,Spanish,156,ayuda
es,Spanish,157,grande
es,Spanish,158,donde
es,Spanish,159,mismo
es,Spanish,160,todo
es,Spanish,161,propio
es,Spanish,162,mientras
es,Spanish,163,comienzo
es,Spanish,164,Tres
es,Spanish,165,alto
es,Spanish,166,cada
es,Spanish,167,otro
es,Spanish,168,convertirse en
es,Spanish,169,más
es,Spanish,170,Entre
es,Spanish,171,ocurrir
es,Spanish,172,familia
es,Spanish,173,encima
es,Spanish,174,presidente
es,Spanish,175,viejo
es,Spanish,176,sí
es,Spanish,177,casa
es,Spanish,178,show
es,Spanish,179,de nuevo
es,Spanish,180,estudiante
es,Spanish,181,entonces
es,Spanish,182,parecer
es,Spanish,183,podría
es,Spanish,184,parte
es,Spanish,185,escuchar
es,Spanish,186,su
es,Spanish,187,lugar
es,Spanish,188,problema
es,Spanish,189,donde
es,Spanish,190,creer
es,Spanish,191,país
es,Spanish,192,siempre
es,Spanish,193,semana
es,Spanish,194,punto
es,Spanish,195,mano
es,Spanish,196,apagado
es,Spanish,197,tocar
es,Spanish,198,turno
es,Spanish,199,pocos
es,Spanish,200,grupo
es,Spanish,201,semejante
es,Spanish,202,contra
es,Spanish,203,correr
es,Spanish,204,chico
es,Spanish,205,acerca de
es,Spanish,206,caso
es,Spanish,207,pregunta
es,Spanish,208,trabajo
es,Spanish,209,noche
es,Spanish,210,En Vivo
es,Spanish,211,juego
es,Spanish,212,número
es,Spanish,213,escribir
es,Spanish,214,traer
es,Spanish,215,sin que
es,Spanish,216,dinero
es,Spanish,217,lote
es,Spanish,218,más
es,Spanish,219,libro
es,Spanish,220,sistema
es,Spanish,221,Gobierno
es,Spanish,222,Siguiente
es,Spanish,223,ciudad
es,Spanish,224,empresa
es,Spanish,225,historia
es,Spanish,226,hoy dia
es,Spanish,227,trabajo
es,Spanish,228,Muevete
es,Spanish,229,deber
es,Spanish,230,malo
es,Spanish,231,amigo
es,Spanish,232,durante
es,Spanish,233,comenzar
es,Spanish,234,amor
